artist,title,release_format,number_of_tracks,price,rating,votes,have,want,limited_edition,media_condition,sleeve_condition,release_page,genre,year,label_name,label_code
Franco Falsini,Cold Nose (Naso Freddo),LP,3,43.95,4.5,6.0,58,68,1,M,M,https://discogs.com/release/14819074-Franco-Falsini-Cold-Nose-Naso-Freddo?ev=item-vc,ambient,2019,btf.it ‎,"VMLP217, btf.it ‎– VMLP 217, Vinyl Magic ‎– VMLP217, Vinyl Magic ‎– VMLP 217, Polydor ‎– 2449 012 A"
Luigi Archetti / Bo Wiget,Weltformat,LP,13,39.9,4.43,7.0,44,30,1,M,M,https://discogs.com/release/14680717-Luigi-Archetti-Bo-Wiget-Weltformat?ev=item-vc,ambient,2019,Die Schachtel ‎,ZEIT 015LP
Peter Davison,Music On The Way,LP,4,28.77,4.79,14.0,54,114,0,M,M,https://discogs.com/release/14579318-Peter-Davison-Music-On-The-Way?ev=item-vc,ambient,2020,Fact Of Being ‎,FoB-002
Angélica Salvi*,Phantone,LP,6,28.88,5.0,3.0,49,13,0,M,M,https://discogs.com/release/14515006-Ang%C3%A9lica-Salvi-Phantone?ev=item-vc,ambient,2019,Lovers & Lollypops ‎,LL#103
Oulu Space Jam Collective,Drug Rings Of Saturn,LP,7,70.78,4.6,10.0,49,16,1,M,M,https://discogs.com/release/14607670-Oulu-Space-Jam-Collective-Drug-Rings-Of-Saturn?ev=item-vc,ambient,2019,Adansonia Records ‎,AR 034
Sula Bassana,The Box,LP,32,118.94,3.81,16.0,123,27,1,M,M,https://discogs.com/release/14676552-Sula-Bassana-The-Box?ev=item-vc,ambient,2020,Pancromatic ‎,"plp 2028, Pancromatic ‎– plp 2038 a/b+c/d, Pancromatic ‎– plp 2038 e/f+g/h, Pancromatic ‎– plp 2038 i/j+k/l"
Black Lesbian Fishermen,The Metaphysics Of Natron,LP,6,30.81,4.0,6.0,18,23,0,M,M,https://discogs.com/release/14295167-Black-Lesbian-Fishermen-The-Metaphysics-Of-Natron?ev=item-vc,ambient,2019,Underflow Records ‎,underflow06
Perrache,'Barriere In Movimento',LP,4,20.76,4.36,11.0,106,14,1,M,M,https://discogs.com/release/14191205-Perrache-Barriere-In-Movimento?ev=item-vc,ambient,2019,Polytechnic Youth ‎,PY97
Drone À Clochettes,Drone À Clochettes,LP,4,23.88,,,7,3,0,M,M,https://discogs.com/release/14062402-Drone-Clochettes-Drone-Clochettes?ev=item-vc,ambient,2019,Le Cri De La Harpe ‎,HARPX3
Tamagawa,Live In Japan,"10""",5,21.83,,,16,5,0,M,M,https://discogs.com/release/14062454-Tamagawa-Live-In-Japan?ev=item-vc,ambient,2019,Le Cri De La Harpe ‎,harpX2
SPK,Zamia Lehmanni (Songs Of Byzantine Flowers),LP,9,30.98,5.0,14.0,150,118,0,M,M,https://discogs.com/release/14568033-SPK-Zamia-Lehmanni-Songs-Of-Byzantine-Flowers?ev=item-vc,ambient,2019,Cold Spring ‎,CSR274LP
SPK,Zamia Lehmanni (Songs Of Byzantine Flowers),LP,9,28.96,5.0,14.0,150,118,0,M,M,https://discogs.com/release/14568033-SPK-Zamia-Lehmanni-Songs-Of-Byzantine-Flowers?ev=item-vc,ambient,2019,Cold Spring ‎,CSR274LP
Serpents (5),Scongiuri,LP,4,23.93,5.0,6.0,26,19,1,M,M,https://discogs.com/release/13626252-Serpents-Scongiuri?ev=item-vc,ambient,2019,Bloodrock Records ‎,BRR045
Mattias Uneback,Voyage Beneath The Sea,LP,6,28.96,4.64,11.0,72,42,1,M,M,https://discogs.com/release/14423694-Mattias-Uneback-Voyage-Beneath-The-Sea?ev=item-vc,ambient,2019,Subliminal Sounds ‎,SUB-131-LP
Morlock (7),Ancient Paths,LP,13,23.97,5.0,4.0,24,10,0,M,M,https://discogs.com/release/14280189-Morlock-Ancient-Paths?ev=item-vc,ambient,2019,Cineploit ‎,Cine 22
Morlock (7),Ancient Paths,LP,13,27.97,5.0,4.0,24,10,0,M,M,https://discogs.com/release/14280189-Morlock-Ancient-Paths?ev=item-vc,ambient,2019,Cineploit ‎,Cine 22
Monocube &,Contemplator Caeli,LP,4,28.89,4.5,26.0,85,46,1,M,M,https://discogs.com/release/13844409-Monocube-Troum-Contemplator-Caeli?ev=item-vc,ambient,2019,Transgredient Records ‎,TR-14
Hermigervill,Hermigervill presents: The Future Sound of Iceland,LP,10,25.75,4.0,2.0,22,8,0,M,M,https://discogs.com/release/14000212-Hermigervill-Hermigervill-presents-The-Future-Sound-of-Iceland?ev=item-vc,ambient,2019,Geertruida ‎,TRUI057
Vértice (2),Besoch Trauma,LP,2,31.87,4.33,6.0,86,35,1,M,M,https://discogs.com/release/13705728-V%C3%A9rtice-Besoch-Trauma?ev=item-vc,ambient,2019,Die Schachtel ‎,DSDM1
Merzbow |,L'Age D'Or,LP,2,32.83,4.17,6.0,39,70,1,M,M,https://discogs.com/release/12931173-Merzbow-Dedali-LAge-DOr?ev=item-vc,ambient,2018,4iB Records ‎,4iB LP/0217/036
PBK,Thinking of Eternity,LP,4,27.75,4.89,9.0,44,16,1,M,M,https://discogs.com/release/13717059-PBK-Thinking-of-Eternity?ev=item-vc,ambient,2019,Table Sports ‎,TS3.112017
Michael Stearns,Ancient Leaves,LP,2,28.75,4.6,10.0,71,129,0,M,M,https://discogs.com/release/13847169-Michael-Stearns-Ancient-Leaves?ev=item-vc,ambient,2019,Infinite Fog Productions ‎,IF-93LP
Various,Neptunalia,LP,10,24.9,4.38,8.0,82,65,0,M,M,https://discogs.com/release/12251927-Various-Neptunalia?ev=item-vc,ambient,2018,Lal Lal Lal ‎,"LAL-92, Ikuisuus ‎– IKU-054"
Tropikal Camel,Awakening Spirits,LP,7,28.78,,,11,12,1,M,M,https://discogs.com/release/13826925-Tropikal-Camel-Awakening-Spirits?ev=item-vc,ambient,2019,Rebel Up Records ‎,RUP009
Tropikal Camel,Awakening Spirits,LP,7,24.92,4.0,4.0,37,20,0,M,M,https://discogs.com/release/13781919-Tropikal-Camel-Awakening-Spirits?ev=item-vc,ambient,2019,Rebel Up Records ‎,RUP009
The Montgolfier Brothers,Seventeen Stars,LP,10,24.78,4.73,11.0,76,38,1,M,M,https://discogs.com/release/13696082-The-Montgolfier-Brothers-Seventeen-Stars?ev=item-vc,ambient,2019,Caroline True Records ‎,CTRUE25
Sarah Davachi &,Intemporel,LP,6,27.76,4.61,41.0,384,221,0,M,M,https://discogs.com/release/13632951-Sarah-Davachi-Ariel-Kalma-Intemporel?ev=item-vc,ambient,2019,Black Sweat Records ‎,BS053
Riccardo Sinigaglia,Ambient Music,LP,2,37.78,4.0,5.0,28,76,1,M,M,https://discogs.com/release/13574243-Riccardo-Sinigaglia-Ambient-Music?ev=item-vc,ambient,2019,Soave ‎,SV 22
Sandro Mussida,Eeeooosss,LP,3,25.76,4.67,9.0,82,47,1,M,M,https://discogs.com/release/13574687-Sandro-Mussida-Eeeooosss?ev=item-vc,ambient,2019,Soave ‎,GRA05
Justo Bagüeste &,Inducing The Pleasure Dreams V2,LP,5,26.96,4.71,7.0,39,30,1,M,M,https://discogs.com/release/13675142-Justo-Bag%C3%BCeste-Suso-S%C3%A1iz-Inducing-The-Pleasure-Dreams-V2?ev=item-vc,ambient,2019,Geometrik ‎,GR2147
El Hombre al Agua,Oumuamua Parts 1 & 2,LP,12,32.76,,,2,2,1,M,M,https://discogs.com/release/23276255-El-Hombre-al-Agua-Oumuamua-Parts-1-2?ev=item-vc,ambient,2019,Noiseagonymayhem Records ‎,NAM 051
El Hombre al Agua,Oumuamua Parts 1 & 2,LP,12,40.79,4.0,4.0,27,4,1,M,M,https://discogs.com/release/13943771-El-Hombre-al-Agua-Oumuamua-Parts-1-2?ev=item-vc,ambient,2019,Noiseagonymayhem Records ‎,NAM 051
Diskret (2),Diskret,"12""",4,28.77,,,11,7,0,M,M,https://discogs.com/release/13464514-Diskret-Diskret?ev=item-vc,ambient,2019,Quiet Love Records ‎,QLR001
"Eugene Robinson,",Chapel In The Pines,LP,5,20.81,2.5,2.0,17,20,1,M,M,https://discogs.com/release/13304202-Eugene-Robinson-Philippe-Petit-Chapel-In-The-Pines?ev=item-vc,ambient,2019,Blackhouse Records ‎,"BH999108, Jelodanti Records ‎– Jelo 12"
Thelema (2),Entrance Totrance,LP,4,27.85,4.67,3.0,12,13,0,M,M,https://discogs.com/release/13498533-Thelema-Entrance-Totrance?ev=item-vc,ambient,2019,Klangschmiede Norikum ‎,KN 01
Breidablik,Nhoohr,LP,6,27.95,4.33,6.0,48,13,1,M,M,https://discogs.com/release/13110947-Breidablik-Nhoohr?ev=item-vc,ambient,2019,Pancromatic ‎,"PLP 2034, Pancromatic ‎– PLP - 2034"
Ben Shemie,A Skeleton,LP,10,23.87,4.3,10.0,78,25,0,M,M,https://discogs.com/release/13052066-Ben-Shemie-A-Skeleton?ev=item-vc,ambient,2019,Hands In The Dark ‎,HITD 045
Bernard Xolotl,Music By Xolotl,LP,8,29.93,4.42,19.0,131,157,1,M,M,https://discogs.com/release/13188097-Bernard-Xolotl-Music-By-Xolotl?ev=item-vc,ambient,2019,Wah Wah Records ‎,"LPS217, Wah Wah Records ‎– SGS217"
Güiro Meets Russia,Folk Psychology,LP,9,26.98,5.0,4.0,21,7,0,M,M,https://discogs.com/release/12855273-G%C3%BCiro-Meets-Russia-Folk-Psychology-?ev=item-vc,ambient,2018,Canoa Snake Records ‎,CSR002
Fabio Orsi,Sterminato Piano,LP,2,22.79,4.78,9.0,45,19,1,M,M,https://discogs.com/release/12800185-Fabio-Orsi-Sterminato-Piano?ev=item-vc,ambient,2019,Backwards ‎,BW35
Cearley* &,Fake Time,LP,3,20.78,4.5,12.0,112,15,1,M,M,https://discogs.com/release/12779402-Cearley-Dwinell-Fake-Time?ev=item-vc,ambient,2018,Polytechnic Youth ‎,PY60
Didier Bocquet,Eclipse,LP,4,29.94,3.5,2.0,47,59,0,M,M,https://discogs.com/release/12807676-Didier-Bocquet-Eclipse?ev=item-vc,ambient,2018,Cameleon Records (2) ‎,CAME71
Edgar Wappenhalter,Edgar Wappenhalter,LP,3,23.79,4.25,4.0,33,30,1,M,M,https://discogs.com/release/12842526-Edgar-Wappenhalter-Edgar-Wappenhalter?ev=item-vc,ambient,2018,Morc Records ‎,Morc 77
Warren Sampson,Traveller,LP,10,42.96,4.67,12.0,108,104,0,M,M,https://discogs.com/release/11961927-Warren-Sampson-Traveller?ev=item-vc,ambient,2018,Love All Day ‎,LAD 016
Didier Bocquet,Eclipse,LP,4,25.8,4.2,5.0,56,121,0,M,M,https://discogs.com/release/12113254-Didier-Bocquet-Eclipse?ev=item-vc,ambient,2018,Cameleon Records (2) ‎,CAME71
Diamont Dancer,Shapes,LP,7,26.83,4.38,8.0,21,15,0,M,M,https://discogs.com/release/11184226-Diamont-Dancer-Shapes?ev=item-vc,ambient,2018,Canoa Snake Records ‎,CSR001
